Region,Gender,Year,Attendance
East,Female,2023,65.7
East,Female,2022,84.6
East,Female,2022,74.7
North,Female,2023,97.4
South,Male,2022,83.2
West,Female,2023,85.1
West,Female,2022,88.9
East,Female,2022,80.1
East,Male,2022,81.5
West,Female,2022,77.2
East,Male,2023,74.3
East,Female,2022,62.1
East,Female,2022,63.6
West,Female,2023,99.3
South,Female,2023,82.9
East,Female,2023,95.2
North,Male,2022,69.8
West,Female,2023,82.6
East,Female,2022,89.2
West,Male,2022,78.5
South,Male,2023,69.2
West,Female,2023,98.8
East,Female,2022,81.7
East,Male,2023,96.4
South,Female,2023,92.5
West,Male,2023,63.2
North,Female,2022,78.3
North,Female,2022,98.1
West,Female,2022,86.9
North,Female,2022,97.4
North,Male,2022,90.4
South,Female,2023,94.7
North,Female,2023,83.3
North,Male,2022,93.3
West,Female,2022,93.9
West,Female,2022,60.8
East,Female,2022,90.7
North,Male,2023,99.9
East,Male,2023,67.2
West,Female,2022,82.0
North,Male,2023,62.5
South,Female,2023,60.3
East,Male,2023,76.4
South,Female,2022,92.9
North,Female,2022,69.7
West,Female,2023,97.0
East,Female,2023,89.1
North,Male,2022,68.6
North,Male,2023,90.5
East,Male,2023,83.1
North,Female,2022,86.5
West,Male,2022,60.2
North,Male,2023,70.0
West,Male,2023,72.1
South,Female,2022,86.8
West,Male,2022,79.7
East,Male,2023,93.4
North,Female,2022,85.4
South,Female,2023,96.0
East,Female,2022,88.9
South,Female,2022,82.1
North,Male,2022,94.5
East,Male,2022,78.2
West,Female,2022,67.5
West,Female,2022,86.6
North,Female,2023,66.9
East,Female,2022,70.8
North,Male,2023,97.5
North,Female,2022,62.9
West,Female,2023,89.8
East,Male,2022,69.0
South,Male,2023,90.4
West,Male,2023,77.1
North,Female,2023,75.9
South,Female,2023,65.2
East,Male,2023,99.9
North,Male,2022,69.1
South,Female,2022,71.8
West,Male,2022,74.1
East,Female,2022,76.6
South,Female,2022,81.4
West,Male,2022,73.7
North,Female,2022,75.2
West,Female,2022,64.9
North,Female,2022,62.2
East,Female,2022,79.9
South,Female,2022,68.4
North,Female,2022,98.8
South,Female,2023,80.2
East,Female,2022,74.7
East,Male,2022,74.6
South,Female,2023,67.8
North,Male,2022,81.9
East,Female,2023,87.1
East,Female,2023,83.9
East,Male,2022,94.5
East,Male,2022,92.5
East,Male,2023,70.9
West,Female,2022,82.2
East,Female,2022,69.1
